x,y,z
-205.149214,48.262554,215.146636
-204.031942,50.949658,214.704814
-203.039766,52.193469,214.406398
-202.129651,52.429843,214.207041
-201.261119,52.089503,214.063326
-200.397836,51.601433,213.932795
-199.465424,51.996789,213.715958
-198.460698,53.418764,213.400411
-197.417095,55.468654,213.025548
-196.366726,57.710506,212.633564
-125.095642,53.031228,198.928723
-124.375946,55.417127,198.590265
-123.657613,57.540862,198.273633
-122.912001,58.826200,198.020545
-122.115068,58.850007,197.861042
-121.260441,57.463991,197.806056
-120.468157,57.448431,197.650709
-119.690004,57.693442,197.476729
-118.915892,57.958085,197.301935
-118.142429,58.163519,197.132137
-117.370759,58.337877,196.965249
-116.595459,58.356375,196.810458
-115.814749,58.177031,196.670866
-115.029373,57.812342,196.545592
-114.246138,57.418695,196.423122
-113.465039,56.994560,196.303581
-112.694083,56.739802,196.172118
-111.928124,56.531496,196.037823
-111.128607,55.362766,195.975866
-110.396021,55.866960,195.789583
-109.704579,57.333867,195.532275
-109.033400,59.141366,195.250967
-108.325804,59.971096,195.042858
-107.605271,60.431217,194.862582
-106.914133,61.474207,194.640190
-106.234039,62.666197,194.407731
-105.513413,62.927074,194.243819
-104.845337,64.216201,194.005749
-104.243745,66.702570,193.682377
-103.652952,69.196925,193.360484
-103.137768,72.786473,192.963486
-98.206754,73.963705,191.891874
-97.472620,73.468470,191.787464
-96.690827,72.091143,191.746162
-95.906832,70.565807,191.716595
-95.102891,68.528222,191.725205
-94.289453,66.096007,191.764386
-93.582517,65.737230,191.654132
-92.922822,66.328360,191.475111
-92.220698,65.969795,191.365791
-91.586040,66.994542,191.156065
-90.878769,66.432474,191.062461
-90.138101,65.058994,191.028973
-89.381771,63.174319,191.034422
-76.848225,59.636617,188.847551
-76.161594,57.812893,188.861767
-70.498788,55.359724,187.943998
-69.843192,53.446141,187.971738
-69.216112,52.651114,187.913142
-68.600134,52.288843,187.821157
-67.975377,51.350249,187.774825
-67.360321,50.798279,187.698620
-66.754534,50.662382,187.590036
-66.149638,50.478012,187.485614
-65.552996,50.684844,187.350657
-64.964091,51.251660,187.187630
-64.370994,51.481339,187.051495
-63.777580,51.603471,186.924140
-63.194818,52.247332,186.755992
-62.602481,52.259369,186.637903
-62.005521,51.913642,186.548317
-61.417576,52.001465,186.424865
-60.831048,52.085362,186.302016
-60.239556,51.779970,186.210195
-59.650962,51.551095,186.112655
-59.061012,51.131010,186.030569
-55.006030,50.297043,185.297512
-54.427397,49.785353,185.225196
-44.888636,48.454943,183.448869
-44.334395,47.905061,183.384516
-43.782506,47.458134,183.312161
-43.233274,47.170480,183.227236
-42.686985,47.098222,183.125181
